Date,Price,Volume,Market cap,Coin
2025-04-14,0.999699296,65444521521,144301072711,USDT
2025-04-13,0.9996533194,60193768880,144345477534,USDT
2025-04-12,0.9998840384,53780414831,144358039977,USDT
2025-04-11,0.9994921352,69911193868,144270066488,USDT
2025-04-10,0.9992909031,80163124209,144272216564,USDT
2025-04-09,0.9996860915,139544979611,143966376637,USDT
2025-04-08,0.9989745102,81564232647,144052510272,USDT
2025-04-07,0.9997728736,159480342752,144225138991,USDT
2025-04-06,0.9992761127,74366051040,143986738621,USDT
2025-04-05,0.9995837776,34108090670,144026707894,USDT
2025-04-04,0.9996161706,79619710660,144033928949,USDT
2025-04-03,0.9995683582,74632997745,144182754256,USDT
2025-04-02,0.9997974215,91631661187,144006792400,USDT
2025-04-01,1.000000498,58370134998,143998606986,USDT
2025-03-31,0.9997680831,59967779901,143906614992,USDT
2025-03-30,0.9998702769,38085432412,144168520865,USDT
2025-03-29,0.9995912538,45385777468,144122703316,USDT
2025-03-28,0.9995086548,71112920720,144109394038,USDT
2025-03-27,0.9997179037,55911263699,144133634838,USDT
2025-03-26,1.000052157,58872800987,144017689461,USDT
2025-03-25,1.000188374,58456757340,143799182080,USDT
2025-03-24,1.000358244,67599933158,143514104275,USDT
2025-03-23,1.000017402,39613720219,143487646963,USDT
2025-03-22,0.9998776186,33001997620,143468942749,USDT
2025-03-21,0.9996476645,47826756168,143470753035,USDT
2025-03-20,0.9994921174,61655037854,143565636630,USDT
2025-03-19,1.00029035,77454470815,143474421809,USDT
2025-03-18,0.9998004346,55568882437,143396840566,USDT
2025-03-17,1.00003097,56970443832,143465213781,USDT
2025-03-16,1.000111727,48641020262,143484211112,USDT
2025-03-15,1.000044205,38617325773,143469636475,USDT
2025-03-14,1.000029121,60468227136,143353168630,USDT
2025-03-13,0.999626133,69499068047,143294661065,USDT
2025-03-12,0.9996868418,78841806978,143145514653,USDT
2025-03-11,0.9997764722,104880955133,142960853591,USDT
2025-03-10,0.9996802191,106068799847,142891277302,USDT
2025-03-09,0.9997331583,66660356811,142767254406,USDT
2025-03-08,0.9997193244,45463660288,142761678983,USDT
2025-03-07,0.9995577841,111427883161,142744011637,USDT
2025-03-06,1.000145699,87306564550,142736433112,USDT
2025-03-05,0.999943774,91447454228,142493229811,USDT
2025-03-04,0.9996783859,130594229329,142470611109,USDT
2025-03-03,0.9991942029,135811207338,142331723684,USDT
2025-03-02,1.000125162,133280929229,142438646828,USDT
2025-03-01,0.999449382,62938723492,142120863798,USDT
2025-02-28,0.9995286656,146908454227,142138663610,USDT
2025-02-27,0.9989795644,98043035762,142152677704,USDT
2025-02-26,1.000197144,119836685405,141928053161,USDT
2025-02-25,0.9989881773,170041838176,142204538144,USDT
2025-02-24,0.9997503607,100852116996,142415096722,USDT
2025-02-23,1.000114856,54022199584,142499822975,USDT
2025-02-22,1.000218539,57283088675,142520744328,USDT
2025-02-21,0.9995218787,108902119689,142139522500,USDT
2025-02-20,1.000332035,72455845464,141824825987,USDT
2025-02-19,0.99992868,65862475675,141766356120,USDT
2025-02-18,0.9993792278,85488692072,141672983177,USDT
2025-02-17,0.9999330548,73802340406,141987714076,USDT
2025-02-16,1.000085247,45737337095,142015302747,USDT
2025-02-15,1.000153503,49511991572,142017601261,USDT
2025-02-14,1.000083885,82431082792,141819968666,USDT
2025-02-13,1.000161163,83624826615,141953710944,USDT
2025-02-12,1.000061127,102503671614,141964175064,USDT
2025-02-11,0.9998602596,84538857183,141858500279,USDT
2025-02-10,1.00013541,82150710154,141649860853,USDT
2025-02-09,1.000194016,67025155232,141762382489,USDT
2025-02-08,1.000236843,59882139192,141705666747,USDT
2025-02-07,1.000304958,107866064908,141404652606,USDT
2025-02-06,1.000170311,99009274148,141177357399,USDT
2025-02-05,1.000131834,100967848652,141401707165,USDT
2025-02-04,1.000158122,155187896041,140500952936,USDT
2025-02-03,1.001051258,292831861639,139544714635,USDT
2025-02-02,0.9997595849,147745588018,139370731417,USDT
2025-02-01,0.9998434132,72792811129,139389762633,USDT
2025-01-31,0.9997710652,96233410167,139356595783,USDT
2025-01-30,1.000121559,83411405756,139422280220,USDT
2025-01-29,1.000140033,94067494817,139495744223,USDT
2025-01-28,0.9996487074,91853415796,139378934822,USDT
2025-01-27,0.9999601516,162852896419,139338025303,USDT
2025-01-26,0.9996496338,63723125224,139289573910,USDT
2025-01-25,0.9998824633,65014479482,139310901067,USDT
2025-01-24,0.9998924635,106044721443,138922824754,USDT
2025-01-23,1.000157723,156427496541,138633157641,USDT
2025-01-22,0.9995415505,112098975855,138491040966,USDT
2025-01-21,0.999918329,174822279640,138406053005,USDT
2025-01-20,0.9989505438,273447339459,138191260283,USDT
2025-01-19,0.999032817,242157716336,138215527521,USDT
2025-01-18,0.9990587696,142636119598,138167508346,USDT
2025-01-17,1.000297152,134437311375,137503988638,USDT
2025-01-16,0.9999002213,121313098677,137431349337,USDT
2025-01-15,1.000033041,123293293794,137254936501,USDT
2025-01-14,0.9997929041,98005957394,137213317941,USDT
2025-01-13,0.9995447066,144300712698,137397571863,USDT
2025-01-12,0.9995340948,54637025454,137388313633,USDT
2025-01-11,0.9996122431,57535335308,137394461634,USDT
2025-01-10,0.9999107632,118957513491,137433895888,USDT
2025-01-09,0.9999650143,123330689723,137600999624,USDT
2025-01-08,0.9997601479,136465081033,137556451404,USDT
2025-01-07,0.9999237044,131667426225,137507121905,USDT
2025-01-06,1.000426577,108122902094,137321543525,USDT
2025-01-05,0.9998543493,64028140855,137250898907,USDT
2025-01-04,0.9999829958,74021836865,137275789846,USDT
2025-01-03,0.9995022645,98538090257,137187042109,USDT
2025-01-02,0.9991147732,105203615172,137295398960,USDT
2025-01-01,0.9978428052,68502735817,137146007423,USDT
2024-12-31,0.998078435,91819301596,137533977345,USDT
2024-12-30,0.9980731822,115072081499,138685395801,USDT
2024-12-29,0.9981475179,69693606139,138748711790,USDT
2024-12-28,0.9981845093,67439233134,138757494324,USDT
2024-12-27,0.9986333036,109643243034,139242342482,USDT
2024-12-26,0.9987839546,103981654028,139269538043,USDT
2024-12-25,0.9991684097,95006873018,139305560905,USDT
2024-12-24,0.9993100429,110251264354,139748850453,USDT
2024-12-23,0.998720753,143549331087,139667489904,USDT
2024-12-22,0.999072968,113706935887,139736226728,USDT
2024-12-21,0.9997703918,145138019727,139824038874,USDT
2024-12-20,0.9995260818,259587932676,140557862589,USDT
2024-12-19,0.9991999499,235961162359,140519418700,USDT
2024-12-18,0.9996658051,204621508146,140540791799,USDT
2024-12-17,1.000052096,153946818098,140461955316,USDT
2024-12-16,1.000140758,182117784211,140278403860,USDT
2024-12-15,0.9994379918,110558845836,140162036067,USDT
2024-12-14,0.9997115063,105119424690,140094173702,USDT
2024-12-13,1.000131805,138144222106,140098106323,USDT
2024-12-12,1.000104486,175416498704,139754081528,USDT
2024-12-11,1.000551152,183494290144,138696977116,USDT
2024-12-10,1.000698111,258614541407,138401131354,USDT
2024-12-09,1.00044689,268299692134,138132101983,USDT
2024-12-08,1.000801137,124097864930,138022722413,USDT
2024-12-07,1.000911493,134071994829,137828205171,USDT
2024-12-06,1.001539527,217009391726,136840200071,USDT
2024-12-05,1.002223899,300668571420,135946594852,USDT
2024-12-04,1.001337115,230862012926,135154959457,USDT
2024-12-03,1.000986336,228432340978,134774046876,USDT
2024-12-02,1.000349149,227268445649,134163655455,USDT
2024-12-01,1.00076245,130353277727,134144285331,USDT
2024-11-30,1.000630316,120928470477,134088502507,USDT
2024-11-29,1.000366319,134186448971,133483323985,USDT
2024-11-28,1.000153641,129679180306,133226700636,USDT
2024-11-27,1.0009944,160374457051,132793751537,USDT
2024-11-26,0.9996537407,181473614140,132686858728,USDT
2024-11-25,0.9999894282,191694839817,132588967998,USDT
2024-11-24,1.000862568,161179026067,132552148318,USDT
2024-11-23,1.000925853,175794188544,132229941343,USDT
2024-11-22,1.001121195,168744865627,130863246580,USDT
2024-11-21,1.001053596,196629125698,130291032807,USDT
2024-11-20,1.000761519,140774842890,128858450484,USDT
2024-11-19,1.001337216,145026896702,128327360188,USDT
2024-11-18,1.000591133,160315204053,127613461731,USDT
2024-11-17,1.000218908,132049931364,127562925987,USDT
2024-11-16,1.000260452,132581111290,127402113317,USDT
2024-11-15,1.00036727,162767483205,127328710155,USDT
2024-11-14,1.000019347,191362214233,126619599223,USDT
2024-11-13,1.001271048,249998968429,125395116711,USDT
2024-11-12,1.000982084,263991047405,124133392943,USDT
2024-11-11,1.001115737,221704336713,123515926642,USDT
2024-11-10,1.000692891,178936402107,123294894269,USDT
2024-11-09,1.00044011,79860693662,123083871281,USDT
2024-11-08,1.000459127,102072246665,122020731649,USDT
2024-11-07,1.000714617,113210698441,121465868840,USDT
2024-11-06,1.000829697,174263401161,120600360128,USDT
2024-11-05,1.000001044,69890308288,120493756335,USDT
2024-11-04,0.9995651905,64129566492,120522523938,USDT
2024-11-03,0.9995908102,57567131255,120525662309,USDT
2024-11-02,0.9996574453,35453783349,120545315339,USDT
2024-11-01,0.9994417073,75894767746,120514749579,USDT
2024-10-31,0.9986226383,67445977914,120411037108,USDT
2024-10-30,0.9996321476,69142436437,120455453674,USDT
2024-10-29,0.9997292819,87586242107,120210915511,USDT
2024-10-28,0.9993047483,66855500410,120259047010,USDT
2024-10-27,0.9987454662,34453667355,120188351108,USDT
2024-10-26,0.9987218812,44076956725,120166455583,USDT
2024-10-25,0.9981626085,78091841017,120076508230,USDT
2024-10-24,0.9995067305,57614263583,120165280485,USDT
2024-10-23,0.9991942656,60689585382,120112680455,USDT
2024-10-22,0.9993875937,58886789137,120145920300,USDT
2024-10-21,0.9998329297,66839777317,120164058011,USDT
2024-10-20,0.9997024261,45409324314,120131870663,USDT
2024-10-19,0.9999491188,32490132300,120165050498,USDT
2024-10-18,0.9999078545,59487210585,119999515386,USDT
2024-10-17,0.9996830469,55057801321,119935878767,USDT
2024-10-16,0.9998351964,63169854723,119953525821,USDT
2024-10-15,0.9998084844,83963242850,119741258856,USDT
2024-10-14,0.9995031504,73645211355,119683986705,USDT
2024-10-13,0.9995565494,36960774632,119684031434,USDT
2024-10-12,0.9997572275,35944351076,119707202830,USDT
2024-10-11,0.9997560915,51632274020,119701420282,USDT
2024-10-10,0.9992090471,53496953156,119763317091,USDT
2024-10-09,0.999070774,51841377811,119736521474,USDT
2024-10-08,0.9994200605,52704043947,119788189289,USDT
2024-10-07,0.9999707658,62209887550,119657974910,USDT
2024-10-06,0.9998459695,31287737203,119652966332,USDT
2024-10-05,0.9999758937,29417406990,119640559083,USDT
2024-10-04,1.000150646,52705769943,119659841644,USDT
2024-10-03,0.9999939449,63125979096,119632235988,USDT
2024-10-02,0.9997510821,70063566098,119627273049,USDT
2024-10-01,0.9997880909,87661652549,119605745273,USDT
2024-09-30,0.9998137275,64288823984,119606990798,USDT
2024-09-29,1.00013963,39151842030,119535637477,USDT
2024-09-28,1.000185859,38585123416,119436453012,USDT
2024-09-27,1.000179464,61923482857,119381075672,USDT
2024-09-26,1.000242654,66981158381,119310843102,USDT
2024-09-25,0.9998553252,50797578929,119251993630,USDT
2024-09-24,0.9999684831,56967919219,119240052657,USDT
2024-09-23,0.9999994266,60077721757,119239522775,USDT
2024-09-22,1.000088369,41426101070,119175568395,USDT
2024-09-21,1.000309675,33954200576,119181581792,USDT
2024-09-20,1.000110847,62999225593,119172814477,USDT
2024-09-19,1.000198041,68815065769,118916699579,USDT
2024-09-18,1.000434749,62277811817,118903015314,USDT
2024-09-17,1.000088442,55698782715,118712523306,USDT
2024-09-16,0.9999368004,52359857999,118693600445,USDT
2024-09-15,1.000068364,33574816326,118816936252,USDT
2024-09-14,1.000207088,31284959922,118599575491,USDT
